,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes
,,47mm,2.4,"17.5""",3.2 lbs,,104mm,PL,60mm,,14,,No,N/A,2024,Not currently in inventory
,,57mm,2.4,"19""",3.5 lbs,,104mm,PL,60mm,,14,,No,N/A,2024,Not currently in inventory
,,77m,2.4,"26""",3.0 lbs,,104mm,PL,60mm,,14,,No,N/A,2024,Not currently in inventory
,,107mm,2.4,"27""",3.2 lbs,,104mm,PL,60mm,,14,,No,N/A,2024,Not currently in inventory
,,137mm,2.4,"32""",3.2 lbs,,104mm,PL,60mm,,14,,No,N/A,2024,Not currently in inventory
,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes
Vantage,Hawk MHX Primes,85mm,1.9,"11""",3.5 lbs,"5.51""",120,LPL,57.5mm,NO,,,No,N/A,2023,Not currently in inventory. These focal lengths are anamorphic equivilent. Divide the number by 1.5 for the actual spherical number
,,105mm,1.9,"1' 2""",3.7 lbs,"5.51""",120,LPL,60mm,NO,,,No,N/A,2023,Not currently in inventory
,,135mm,1.9,"1' 9""",4.2 lbs,"5.51""",120,LPL,60mm,NO,,,No,N/A,2023,Not currently in inventory
,,180mm,1.9,"2' 4""",6.6 lbs,"6.65""",120,LPL,60mm,NO,,,No,N/A,2023,Not currently in inventory
,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,"Anamorphic
Squeeze
Factor",Extender,LDS,Manufacture Year,Support Post Length (mm)
Vantage,Hawk 65,35mm,2.2,"1' 10""",7.7 lbs,"6.49""",156mm,LPL,46.5mm,NO,,1.3x,,No,2015,
,,40mm,2.2,"2' 7""",7.9 lbs,"7""",156mm,LPL,49mm,NO,,1.3x,,No,2015,
,,45mm,2.2,"2' 7""",8.4 lbs,"7.51""",156mm,LPL,51mm,NO,,1.3x,,No,2015,
,,50mm,2.2,"1' 8""",8.4 lbs,"10.11""",142mm,LPL,52mm,NO,,1.3x,,No,2015,
,,60mm,2.2,"2' 5""",7.3 lbs,"8.85""",125mm,LPL,53mm,NO,,1.3x,,No,2015,
,,65mm Macro,2.2,1',7.6 lbs,"8.26""",125mm,LPL,51.5mm,NO,,1.3x,,No,2015,
,,70mm,2.2,"2' 7""",6.4 lbs,"7.67""",120mm,LPL,51.5mm,NO,,1.3x,,No,2015,
,,80mm,2.8,"1' 9""",6.2 lbs,"9.21""",104mm,LPL,53.5mm,NO,,1.3x,,No,2015,
,,95mm,2.8,"2' 6""",5.5 lbs,"8.22""",104mm,LPL,54mm,NO,,1.3x,,No,2015,
,,120mm,2.8,"2' 4""",8.6 lbs,"10.23""",120mm,LPL,58mm,NO,,1.3x,,No,2015,
,,150mm,2.8,"2' 4""",8.6 lbs,"9.84""",120mm,LPL,60mm,NO,,1.3x,,No,2015,
