Manufacturer,Series,Focal Length,T-Stop,Prime / Zoom / Special,Format,Mount,Anamorphic / Spherical,Anamorphic Squeeze Factor,Anamorphic Location,Housing,Front Diameter (mm),Close Focus,Length (in),Film Compatibility,Image Circle (mm),Iris Blade Count,Extender,LDS,i/Data,Support Recommended,Support Post Length (mm),Weight (lbs),Manufacture Year,Expander,Heden Motor Size,Size,Notes,Use Case,Look,Bokeh,Flare,Focus Falloff,Breathing,Focus Scale
zeiss,mark i,20,2.1,prime,,pl,spherical,,,,80,8,2.12 - 2.5,35mm ok,28 clear / 32 with falloff,6,,no,,,,1.3,,no,,,mark i / telescoping,,,,,,,
zeiss,mark i,24,2.1,prime,,pl,spherical,,,,80,1 2,2.2 - 2.25,35mm ok,28 clear / 31 with falloff,6,,no,,,,1.25,,no,,,mark i / telescoping,,,,,,,
zeiss,mark i,32,2.1,prime,,pl,spherical,,,,80,2,2.12 - 2.4,35mm ok,25 clear / 31 with falloff,5,,no,,,,0.8,,no,,,mark i / telescoping,,,,,,,
zeiss,mark i,40,2.1,prime,,pl,spherical,,,,80,16,2.12 - 2.3,35mm ok,32 clear / 39 with falloff,6,,no,,,,1,,no,,,mark i / telescoping,,,,,,,
zeiss,mark i,50,2.1,prime,,pl,spherical,,,,80,1 6,2.2 - 2.5,35mm ok,39 clear / 43 with falloff,6,"ibe 1.4x, ibe 2x",no,,,,1,,,,,mark i / telescoping,,,,,,,
zeiss,mark i,60,3 (4 1/3 at cf),prime,,pl,spherical,,,,80,11,3.5 - 4.75,35mm ok,38 clear / 43 with falloff,6,"ibe 1.4x, ibe 2x",no,,,,1.75,,,,,mark i / telescoping; macro,,,,,,,
zeiss,mark i,85,2.1,prime,,pl,spherical,,,,80,3,2.12 - 2.5,35mm ok,40 clear / 43 with falloff,7,"ibe 1.4x, ibe 2x",no,,,,1.5,,,,,mark i / telescoping,,,,,,,
zeiss,mark i,100,2.1,prime,,pl,spherical,,,,80,40,3 - 3.5,35mm ok,41 clear / 43 with falloff,6,"ibe 1.4x, ibe 2x",no,,,,1.75,,,,,mark i / telescoping,,,,,,,
zeiss,mark i,135,2.1,prime,,pl,spherical,,,,80,5,3.6 - 4.2,35mm ok,41 clear / 43 with falloff,9,"ibe 1.4x, ibe 2x",no,,,,2.25,,,,,mark i / telescoping,,,,,,,
zeiss,super speed - tls rehoused,18,1.3,prime,,pl,spherical,,,,95,11,3.75,35mm ok,32.5,7,,no,,,,3.25,,no,,,only stock uncoated versions,,,,,,,
zeiss,mk iii uncoated,25,1.3,prime,,pl,spherical,,,,95,10,3,35mm ok,36.5,7,,no,,,,2.24,,no,,,only stock uncoated versions,,,,,,,
zeiss,mk iii uncoated,35,1.3,prime,,pl,spherical,,,,95,14,3 7/8th,35mm ok,37,7,,no,,,,2.35,,no,,,only stock uncoated versions,,,,,,,
zeiss,mk iii uncoated,50,1.3,prime,,pl,spherical,,,,95,21,3,35mm ok,41,7,,no,,,,2.27,,no,,,only stock uncoated versions,,,,,,,
zeiss,mk iii uncoated,65,1.3,prime,,pl,spherical,,,,95,2 3,3 7/8th,35mm ok,42,7,"ibe 1.4x, ibe 2x",no,,,,2.52,,,,,only stock uncoated versions,,,,,,,
zeiss,mk iii uncoated,85,1.3,prime,,pl,spherical,,,,95,3,3.25,35mm ok,43,7,"ibe 1.4x, ibe 2x, ang 1.4x, ang 2x",no,,,,2.91,,,,,only stock uncoated versions,,,,,,,
zeiss,super speed (t1.3),18,1.3,prime,,pl,spherical,,,,80,10,3.6 - 3.7,35mm ok,32.5,7,,no,,,,2.8,,no,,,mark ii/iii / telescoping,,,,,,,
