Manufacturer,Series,Focal Length,T-Stop,Prime / Zoom / Special,Format,Mount,Anamorphic / Spherical,Anamorphic Squeeze Factor,Anamorphic Location,Housing,Front Diameter (mm),Close Focus,Length (in),Film Compatibility,Image Circle (mm),Iris Blade Count,Extender,LDS,i/Data,Support Recommended,Support Post Length (mm),Weight (lbs),Manufacture Year,Expander,Heden Motor Size,Size,Notes,Use Case,Look,Bokeh,Flare,Focus Falloff,Breathing,Focus Scale,Original ESC Name
Tribe7,Blackwing7,20.7,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,ST,,,,,,,,20.7mm Tribe7 Blackwing7 Production (ST) T1.9
Tribe7,Blackwing7,20.7,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,XT,,,,,,,,20.7mm Tribe7 Blackwing7 Production (XT) T1.9
Tribe7,Blackwing7,137,T2,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,T,,,,,,,,137mm Tribe7 Blackwing7 Binary (T) T2
Tribe7,Blackwing7,17,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,T,,,,,,,,17mm Tribe7 Blackwing7 Binary (T) T1.9
Tribe7,Blackwing7,27,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,T,,,,,,,,27mm Tribe7 Blackwing7 Binary (T) T1.9
Tribe7,Blackwing7,47,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,T,,,,,,,,47mm Tribe7 Blackwing7 Binary (T) T1.9
Tribe7,Blackwing7 Production (T),137,T2,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,T,,,,,,,,137mm Tribe7 Blackwing7 Production (T) T2
Tribe7,Blackwing7 Production (S),137,T2,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,S,,,,,,,,137mm Tribe7 Blackwing7 Production (S) T2
Tribe7,Blackwing7 Production (B),137,T2,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,B,,,,,,,,137mm Tribe7 Blackwing7 Production (B) T2
Tribe7,Blackwing7 Production (X),137,T2,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,X,,,,,,,,137mm Tribe7  Blackwing7 Production (X) T2
Tribe7,Blackwing7 Binary (T),107,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,T,,,,,,,,107mm Tribe7 Blackwing7 Binary (T) T1.8
Tribe7,Blackwing7 Binary (T),23.7,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,T,,,,,,,,23.7mm Tribe7 Blackwing7 Binary (T) T1.9
Tribe7,Blackwing7 Binary (BX),20.7,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,BX,,,,,,,,20.7mm Tribe7 Blackwing7 Binary (BX) T1.9
Tribe7,Blackwing7 Binary (T/XFlare),37,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,T/XFlare,,,,,,,,37mm Tribe7 Blackwing7 Binary (T/XFlare) T1.9
Tribe7,Blackwing7 Binary (T/XFlare),57,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,T/XFlare,,,,,,,,57mm Tribe7  Blackwing7 Binary (T/XFlare) T1.9
Tribe7,Blackwing7 Binary (T/XFlare),77,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,T/XFlare,,,,,,,,77mm Tribe7 Blackwing7 Binary (T/XFlare) T1.8
