,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,Focal Length
,,28mm,2.8,"9"" (Actual: 7"")",1.4 lbs,"2.9"" - 3.4""",88mm,PL,33mm clear / 39mm with falloff,35mm OK,7,"IBE 1.4X, IBE 2X",,No,N/A,,Rehoused by Servicevision / Telescoping,,,,,,,,
,,35mm,2.8,"9"" (Actual: 8"")",1.4 lbs,"3"" - 3.5""",88mm,PL,36mm clear / 43mm with falloff,35mm OK,7,"IBE 1.4X, IBE 2X",,No,N/A,,Rehoused by Servicevision / Telescoping,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
Optika Elite,Primes,9.6mm,2,"10""",5.3 lbs,"7.25""",156mm,PL,,,,,,No,,,Vintage / Not currently in inventory,,,,,,,,
,,12mm,1.9,"10""",5.2 lbs,"4.25""",156mm,PL,35.5mm,,10,None,,No,N/A,,Vintage / Rectilinear,,,,,,,,
,,14mm,1.9,"10""",4.2 lbs,"5.4""",110mm,PL,,,,,,No,N/A,,Vintage / Not currently in inventory,,,,,,,,
,,16mm,1.6,"10""",4.6 lbs,"5.9""",110mm,PL,,,,,,No,N/A,,Vintage / Not currently in inventory,,,,,,,,
,,18mm,1.3,"10""",4.6 lbs,"6.3""",110mm,PL,,,,,,No,N/A,,Vintage / Not currently in inventory,,,,,,,,
,,20mm,1.3,"10""",4.6 lbs,"6.3""",110mm,PL,,,,,,No,N/A,,Vintage / Not currently in inventory,,,,,,,,
,,22mm,1.3,"10""",5.3 lbs,"7.25""",110mm,PL,,,,,,No,N/A,,Vintage / Not currently in inventory,,,,,,,,
