,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,Focal Length
,,100mm,3 (5.6 at CF),"1' 2""",3.5 lbs,"5.6""",80mm,PL,40mm clear / 43mm with falloff,35mm OK,9,"IBE 1.4X, IBE 2X",Duclos 1.7X,No,N/A,,"Macro, Auto exposure compensation",,,,,,,,
,,200mm,4.3 (8 at CF),"1' 11""",4 lbs,"8.5""",80mm,PL,43mm,35mm OK,8,"IBE 1.4X, IBE 2X",Duclos 1.7X,No,N/A,,"Macro, Auto exposure compensation",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
ARRI / Zeiss,Compact Prime (CP2),15mm,2.9,"12""",2 lbs,"3.4""",114mm,PL / EF (E / F / MFT),,,14,,,No,,,Not currently in inventory,,,,,,,,
,,18mm,3.6,"12""",1.6 lbs,"3.15""",114mm,PL / EF / E / F / MFT,31mm clear / 38mm with falloff,,14,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex 2X, Century 2X",,No,N/A,,,,,,,,,,
,,21mm,2.9,"10""",1.8 lbs,"3.15""",114mm,PL / EF / E / F / MFT,34mm clear / 43mm with falloff,,14,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex 2X, Century 2X",,No,N/A,,,,,,,,,,
,,25mm,2.9,"7""",1.6 lbs,"3.15""",114mm,PL / EF / E / F / MFT,32mm clear / 43mm with falloff,,14,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex 2X",,No,N/A,,,,,,,,,,
,,28mm,2.1,"10""",1.8 lbs,"3.15""",114mm,PL / EF / E / F / MFT,36mm clear / 43mm with falloff,,14,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex 2X, Century 2X",,No,N/A,,,,,,,,,,
,,35mm,2.1,"12""",2.2 lbs,"3.15""",114mm,PL / EF / E / F / MFT,37mm clear / 43mm with falloff,,14,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex 2X",,No,N/A,,,,,,,,,,
